,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Crossing,HeadingAccuracy,Acceleration,SprintSpeed,Reactions,Balance,Aggression,Positioning,Vision,Composure,Best Position,Best Overall Rating,BMI,Contract_Length,Total_Passing,Attacking_Score,Defensive_Score,Physical_Score,Dribbling_Control,Work Rate_High/ Low,Work Rate_High/ Medium,Work Rate_Low/ High,Work Rate_Low/ Low,Work Rate_Low/ Medium,Work Rate_Medium/ High,Work Rate_Medium/ Low,Work Rate_Medium/ Medium
count,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0,17317.0
mean,66.14373159323209,70.95853785297685,1.957875786799099,0.014144540047352315,1595.7460876595253,0.7666454928682798,1.111624415314431,2.9367095917306694,2.305133683663452,3.494947161748571,66.14373159323208,49.795980828088005,52.39158052780505,65.15966968874517,65.40157071086216,61.720505861292374,63.99532251544725,55.96812380897384,49.656811225962926,52.824161228850265,56.00150141479471,66.14373159323209,65.61061384766414,22.916796211814983,4.023329676040885,110.71426921522203,49.4354079805971,45.98517352890224,64.49535716348097,58.76135069584801,0.03949875844545822,0.16602182826124617,0.025408558064329848,0.001732401686204308,0.025466304787203325,0.0881214991049258,0.04908471444245539,0.559277011029624
std,7.022105034580111,6.142190897335765,4.675830814056082,0.02405272229442137,269.48306633114754,0.4229781467509538,0.38474235642429144,0.6567450252670375,0.7459629399353063,1.9806293388135636,3.246671021548177,18.40039740440316,17.428353306780348,14.509731628324515,14.19101181021086,9.228263555736845,13.798186991770402,17.420098429991846,19.359800730723734,14.43604828619593,13.272879149413917,1.0075445549303355,6.949049673094544,1.3844400897413986,2.6840065013370045,29.513629001526134,17.660967930894916,20.86082611566407,9.564059835430081,15.607587010736534,0.19478397645455436,0.3721109737606057,0.15736706549968485,0.04158726179468354,0.1575411226806021,0.28347970133660716,0.21605115310474826,0.4964881373787079
min,45.0,45.0,0.0,0.001,751.0,0.0,1.0,1.0,1.0,0.0,60.25145597807468,6.0,4.0,11.0,11.0,30.0,10.0,7.0,2.0,10.0,5.0,64.47752808988764,44.0,17.04,0.0,20.0,5.0,7.75,27.33,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,62.0,67.0,0.3,0.002,1453.0,1.0,1.0,3.0,2.0,2.0,65.48657628920787,38.0,45.0,57.0,58.0,55.0,56.0,44.0,38.0,43.0,47.0,65.29634002361276,61.0,22.05,2.0,95.0,37.0,25.5,58.33,52.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,66.0,71.0,0.675,0.005,1634.0,1.0,1.0,3.0,2.0,4.0,65.48657628920787,54.0,56.0,68.0,68.0,62.0,66.0,59.0,54.0,54.0,57.0,66.21830985915493,66.0,22.91,4.0,117.0,53.33,51.5,65.67,62.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,71.0,75.0,1.6,0.015,1786.0,1.0,1.0,3.0,3.0,5.0,68.96190476190476,64.0,65.0,75.0,75.0,68.0,74.0,70.0,64.0,64.0,66.0,67.17635370094386,70.0,23.8,5.0,131.0,63.33,64.25,71.67,69.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
max,94.0,94.0,106.0,0.575,2291.0,1.0,5.0,5.0,5.0,9.0,73.2,91.0,94.0,96.0,96.0,96.0,97.0,96.0,94.0,94.0,94.0,68.61904761904762,92.0,34.79,30.0,182.0,91.67,90.5,90.0,95.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
