,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Overall Rating
Contract Valid Until,-0.06449058358092506,0.02184134027883693,0.0757298317977509,0.0916457045190221,0.08062739031213333,0.0010159834916434454,0.016906464393038414,0.01954997410784133,0.002239173610074152,0.048959150217487736,-0.026026962883859184,1.0,-0.06378190149130544,-0.05539681226831619,-0.0006472131695977697,0.0025125592014732024,0.007426548432247041,0.0024647206176686446,-0.005019028305042937,0.009942230017580963,-0.01648632552755632,-0.009271879860278604,-0.004229561190486574,0.0015227004049426405,0.019670221145671,0.023452019326505792,0.009615343386469312,0.02422545749069422,0.027767107098989482,-0.013466533296239933,-0.00900283624431398,0.00850812889078544,-0.02504715278953023,-0.006473756742567949,-0.038840201403028796,0.0029419393193665408,0.008012394743188943,0.0003511892923368613,-0.007714517587094231,-0.020786079248366125,0.010601310561456752,0.007604327572695564,0.014421398250832296,-0.005433932365807827,-0.0029375775374614957,-0.00459523603994408,-0.004610184137447461,-0.0036971587775874175,0.01973180113676937
Height,0.07956810744902751,0.05021854499377201,0.013363297510189128,0.0250219245568202,0.026432386148187277,-0.36549248180027594,0.05029659794121173,-0.18111641356936417,-0.4285677902316515,-0.03558248227421618,0.0011799984491712779,-0.06378190149130544,1.0,0.7470688432613022,-0.4734835350720162,-0.3495918197970033,0.009127114684472101,-0.3556783064851424,-0.33592780365028135,-0.48154315856815044,-0.42404489343895324,-0.3803389633578369,-0.3203825529060548,-0.40057069489913005,-0.51886582098077,-0.4467069718790633,-0.6043058307694247,-0.010919493863436398,-0.7855237157969788,-0.272220263623507,-0.06115657924895324,-0.28680892581468975,0.530090802565237,-0.3647874046556943,-0.046227631507484594,-0.04691213739764251,-0.41909375807674837,-0.35930931768535956,-0.32034919463364825,-0.1660850039377076,-0.039975148060030705,-0.05136117627613539,-0.06574673678708515,0.35457491545525005,0.3563492495108118,0.3535387336000348,0.35569664794779327,0.35745813046359837,0.019966297374981613
Weight,0.22394318625147647,0.13869572631454535,-0.008278354441363737,0.048571157798294,0.04710016595364455,-0.27046653574497465,0.08815098241393697,-0.14292337326644886,-0.3784954574606048,-0.0896396419854097,-0.028580323898185326,-0.05539681226831619,0.7470688432613022,1.0,-0.39343194096733436,-0.2862551723591291,0.024915918775118933,-0.29972025362983934,-0.26355984835964075,-0.41632835829210574,-0.34696725321418864,-0.29680176732242863,-0.260730740164689,-0.34046278912411493,-0.46847518337478217,-0.4065840077883758,-0.5367746553424867,0.07839744700914429,-0.6809003147452117,-0.1910823905371297,0.003066724721757432,-0.23627751479018191,0.6136965240603478,-0.27852880867383717,0.019181187381511425,-0.025320516926803812,-0.3475162000926283,-0.28579178086384693,-0.24968318353970756,-0.08432761353618089,-0.027187652039051557,-0.043400564841419347,-0.0583136349867168,0.33714403780546953,0.3391996395114087,0.33735888269622094,0.3399120742360704,0.3391058220264842,0.11256435612575381
Crossing,0.13005231339700468,0.3945065336976364,0.26043535461158773,0.20927751362893607,0.14041694849255792,0.8626723441496009,0.17956513031449792,0.32282172231646633,0.6443337736719629,-0.07298082669985977,-0.01954968748106492,-0.0006472131695977697,-0.4734835350720162,-0.39343194096733436,1.0,0.6422561603181466,0.4756546730608753,0.8094044985845016,0.681960270237126,0.8481543978009138,0.827148289997703,0.7600839099121914,0.7604394930706269,0.8369137318469965,0.6570491688092728,0.6423924038687773,0.6851942931067626,0.3726836245699669,0.6008408846219064,0.7008739904244391,0.12258400349467677,0.6657128841430588,-0.03384529533198257,0.738282109687669,0.47550206904929887,0.4192777055619127,0.7706874075873391,0.6845185923393151,0.6431398967601165,0.5912207230210687,0.3850553725468597,0.4179081974488465,0.4018905135136201,-0.6629351808554589,-0.6589280979281179,-0.6594388692360952,-0.6596137920310192,-0.6611517824603897,0.429720340049944
Finishing,0.05900997240903951,0.32279979644343004,0.24865720236694117,0.22163450647587163,0.14000541905488623,0.7027048399925094,0.1688520896258272,0.36415575978189874,0.7152172530218488,-0.004608139401470121,0.05015445549159884,0.0025125592014732024,-0.3495918197970033,-0.2862551723591291,0.6422561603181466,1.0,0.47103696616092616,0.6511820150649624,0.8749244854915734,0.815833872744612,0.7475149467792276,0.6856092944178162,0.5004446493376068,0.7798284727685678,0.5956554858274519,0.5844506085943698,0.630864603432096,0.31023575830273736,0.49376309438587024,0.7961938623419075,0.07430602732726695,0.4967592227940498,-0.01461930727281574,0.8619855740221574,0.23028020257671705,-0.04357295816878362,0.8802935530399435,0.6919956361238192,0.8351346864795076,0.5593648014896325,-0.09649299575712637,-0.05870060900668899,-0.09871680609099844,-0.5768788561960977,-0.5731179527361729,-0.5734603955612623,-0.5756764248426146,-0.5746805161422176,0.34988492900047624
HeadingAccuracy,0.13496932709403164,0.3399539936195334,0.2186338385599159,0.15229753175207125,0.11726378046366479,0.6478811174381247,0.15364652377136587,0.1886297887713156,0.3851033684703934,-0.08932245879581004,0.014118186511059215,0.007426548432247041,0.009127114684472101,0.024915918775118933,0.4756546730608753,0.47103696616092616,1.0,0.6296874243318308,0.49871758259787335,0.5429537924615704,0.4461425908838913,0.4204092971071449,0.5136681510017869,0.6559619124418511,0.3481322478525636,0.3993215412140212,0.26441318510366757,0.3019277284044803,0.15882024832480257,0.6150815851360835,0.3636224730251117,0.6405589300686235,0.4644971661596912,0.5017882153178433,0.6793872862005623,0.5382843567440787,0.5294496800635676,0.2959610224900894,0.5482988384125748,0.5414857590233745,0.5464124910470728,0.5542552782082093,0.5223816102982863,-0.7507231512321537,-0.7483330949659498,-0.7459826240587415,-0.74631068012381,-0.7494998785657944,0.34719484660516775
ShortPassing,0.1245671399617837,0.4929006214044419,0.38170043917526886,0.27918350388794605,0.17995118143352257,0.9021808764360771,0.22847666980253561,0.33632094049302924,0.624852327550375,-0.09163837448590646,-0.02770353968154918,0.0024647206176686446,-0.3556783064851424,-0.29972025362983934,0.8094044985845016,0.6511820150649624,0.6296874243318308,1.0,0.6884052197729567,0.8326667233404806,0.7762752975875437,0.7389942940594549,0.8982811239457915,0.9044613807152808,0.5658677243202298,0.5595070072396564,0.6080700983171629,0.4511849816299223,0.5209743423792856,0.7685473239470892,0.1803437185712824,0.7103979131996294,0.12175905960924324,0.758818498525417,0.6000395437633163,0.5202728022266518,0.7486021367000546,0.7226072885877647,0.6724777163726664,0.7039954820418954,0.4800531447202061,0.5170529512160821,0.48232519869147256,-0.7199371939390129,-0.7164516845788349,-0.7160383182157906,-0.7171844545210583,-0.7186129591175323,0.5223393067082156
Volleys,0.12918522061540452,0.38123016038704277,0.2649111202689616,0.2506736355846378,0.16905622692083505,0.7590059790587451,0.22961170736307837,0.3674587166300907,0.700786520125557,-0.022811489658659357,0.030867672075780513,-0.005019028305042937,-0.33592780365028135,-0.26355984835964075,0.681960270237126,0.8749244854915734,0.49871758259787335,0.6884052197729567,1.0,0.803038270009303,0.7963894786746035,0.736399571823633,0.5634664741090011,0.7875166586885473,0.5665052064220605,0.5565721451762011,0.6197085267736293,0.3764137308128447,0.4924957312425385,0.8163591167101559,0.10514579424603625,0.521683557797465,0.020469314928487404,0.8556527733793804,0.31830452834144074,0.07207563383435678,0.8394616571717046,0.6970237990188618,0.8183338985131587,0.6197175714305099,0.013757034930691197,0.053802272717199784,0.01600025943346639,-0.5805590032594135,-0.5761669916577803,-0.5766338010804484,-0.5783377852029348,-0.5777307711062989,0.40753115024471015
Dribbling,-0.0017179713158881446,0.3621566922290247,0.32479655029139654,0.2274737471361741,0.14197404471738245,0.859608519426848,0.16595445080857282,0.36379932305147084,0.7607336168971776,-0.0238883029590759,0.042170687598470744,0.009942230017580963,-0.48154315856815044,-0.41632835829210574,0.8481543978009138,0.815833872744612,0.5429537924615704,0.8326667233404806,0.803038270009303,1.0,0.8384615562813253,0.7487047490203326,0.7131871913357235,0.9305814670084032,0.7458562368103648,0.7279747150585568,0.7570881166231264,0.3408677264283653,0.6443049148403184,0.7937527221429104,0.12172186593558709,0.676538267525121,-0.047281627393594663,0.8346314714476674,0.4281611731001337,0.2677531072073799,0.8889482217480947,0.7322363703472904,0.7635145596232237,0.6255892432710494,0.2301355873661263,0.2721211701162767,0.24540524632579971,-0.7451083274502035,-0.7420401742024684,-0.7415301271717584,-0.7439564587054014,-0.7436028232146463,0.397717039690818
Curve,0.1327790344378241,0.41295782487509003,0.293341901177954,0.24599327650824415,0.16128922683784744,0.8438949238458493,0.21468933578339378,0.3562888294414623,0.6884386390690783,-0.05411675506942145,0.005720065257276632,-0.01648632552755632,-0.42404489343895324,-0.34696725321418864,0.827148289997703,0.7475149467792276,0.4461425908838913,0.7762752975875437,0.7963894786746035,0.8384615562813253,1.0,0.8545243833574363,0.7110121403297248,0.8294232010894155,0.5998678698258313,0.5788188516651996,0.6704620698716462,0.3978912909312874,0.5657569364014036,0.7823884773414778,0.09156539546170722,0.5871477879920602,-0.03918599400923538,0.8286698752148279,0.39642162901386857,0.26237318171051194,0.8018832155066944,0.745669466499863,0.746866395180664,0.636968857714046,0.20837962709950403,0.24936609826524614,0.21951334256951968,-0.6067740421077592,-0.6026767517513262,-0.602385996475228,-0.6050386301132743,-0.60463998950822,0.44456903028950256
